[     0.0s 14:16:39] FIXED-mode pipeline -> /home/joebachir20/replication_kit/method_reconstruction/pipeline/runs_parallel/20260714_141639
[     0.0s 14:16:39] workers: [('uncapped_sub89', 'lns', None), ('depth5_sub90', 'lns', 5)]
[  1494.5s 14:41:34] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1511.6s 14:41:51] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1531.7s 14:42:11] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1548.8s 14:42:28] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1565.9s 14:42:45] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1586.0s 14:43:05] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1603.1s 14:43:22] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1620.2s 14:43:39] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1640.3s 14:44:00] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1657.4s 14:44:17] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1677.4s 14:44:37] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1694.5s 14:44:54] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1711.6s 14:45:11] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1731.6s 14:45:31] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1748.8s 14:45:48] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1765.9s 14:46:05] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1785.9s 14:46:25] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1803.0s 14:46:42] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1823.0s 14:47:02] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1840.1s 14:47:19] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1857.2s 14:47:36] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1877.3s 14:47:56] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1894.4s 14:48:14] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1911.5s 14:48:31] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1931.5s 14:48:51] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1948.6s 14:49:08] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1968.6s 14:49:28] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  1985.7s 14:49:45] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2002.8s 14:50:02] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2022.9s 14:50:22] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
